Pulse Shape,Pulse Width,Frequency,Pulse Spacing,Pulses,Coil Orientation ,Pulse Length,Step Size,Threshold Low,Threshold High,Threshold Tolerance,"Coil Position x,y,z","Neuron Position x,y,z","Neuron Orientation x,y,z","Neuron Axis x,y,z",MagnE Normalized,MagnE,Firing Threshold,E1,E2,E3,Mean ROI,Area under Positive Curve
Rectangular,25,4,250,6,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,272.396658,129,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,25,4,250,8,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,272.396658,129,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,25,4,250,10,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,272.396658,129,-1.826397,-0.591519,-0.875615,1.410323,250
Rectangular,25,3.333333333,300,1,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,293.512678,139,-1.826397,-0.591519,-0.875615,1.410323,25
Rectangular,25,3.333333333,300,2,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,285.06627,135,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,25,3.333333333,300,4,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,280.843066,133,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,25,3.333333333,300,6,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,280.843066,133,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,25,3.333333333,300,8,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,280.843066,133,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,25,3.333333333,300,10,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,280.843066,133,-1.826397,-0.591519,-0.875615,1.410323,250
Rectangular,50,6.666666667,150,1,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,158.37015,75,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,50,6.666666667,150,2,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,149.923742,71,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,50,6.666666667,150,4,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,145.700538,69,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,50,6.666666667,150,6,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,145.700538,69,-1.826397,-0.591519,-0.875615,1.410323,300
Rectangular,50,6.666666667,150,8,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,145.700538,69,-1.826397,-0.591519,-0.875615,1.410323,400
Rectangular,50,6.666666667,150,10,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,145.700538,69,-1.826397,-0.591519,-0.875615,1.410323,500
Rectangular,50,5,200,1,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,158.37015,75,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,50,5,200,2,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,50,5,200,4,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,149.923742,71,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,50,5,200,6,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,149.923742,71,-1.826397,-0.591519,-0.875615,1.410323,300
Rectangular,50,5,200,8,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,149.923742,71,-1.826397,-0.591519,-0.875615,1.410323,400
Rectangular,50,5,200,10,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,149.923742,71,-1.826397,-0.591519,-0.875615,1.410323,500
Rectangular,50,4,250,1,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,158.37015,75,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,50,4,250,2,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,50,4,250,4,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,50,4,250,6,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,300
Rectangular,50,4,250,8,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,400
Rectangular,50,4,250,10,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,500
Rectangular,50,3.333333333,300,1,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,158.37015,75,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,50,3.333333333,300,2,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,158.37015,75,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,50,3.333333333,300,4,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,50,3.333333333,300,6,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,300
Rectangular,50,3.333333333,300,8,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,400
Rectangular,50,3.333333333,300,10,255,100,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,154.146946,73,-1.826397,-0.591519,-0.875615,1.410323,500
